state_l,state_s,city,metro
Oklahoma,OK,Elk City,Elk City OK
Maryland,MD,Hanover,Baltimore
Ohio,OH,Worthington,Columbus OH
California,CA,Pacific Palisades,Los Angeles
Minnesota,MN,Minnetonka,Minneapolis
Alabama,AL,Huntsville,Valley AL
New Jersey,NJ,Cranbury,Trenton-Ewing NJ
Florida,FL,Pembroke Pines,Miami
Idaho,ID,Worley,
Illinois,IL,Cary,Chicago
Massachusetts,MA,Cataumet,Barnstable Town MA
Florida,FL,Apopka,Orlando FL
Indiana,IN,Anderson,Anderson IN
New York,NY,Syosset,New York City
Texas,TX,The Woodlands,Houston
Michigan,MI,Lansing,Lansing-East Lansing MI
Indiana,IN,Columbus,Columbus IN
New Jersey,NJ,Rutherford,New York City
Michigan,MI,Sterling Heights,Detroit
California,CA,Orinda,San Francisco
Minnesota,MN,Edina,Minneapolis
California,CA,El Cajon,San Diego
Michigan,MI,Detroit,Detroit
South Carolina,SC,Hilton Head Island,Hilton Head Island-Beaufort SC
Ohio,OH,Boardman,Youngstown-Warren-Boardman OH-PA
Oregon,OR,Medford,Medford OR
Illinois,IL,Lisle,Chicago
Tennessee,TN,Germantown,Memphis TN-MS-AR
Utah,UT,Centerville,Ogden-Clearfield UT
New York,NY,Latham,Albany-Schenectady-Troy NY
Pennsylvania,PA,Mohnton,Reading PA
Maryland,MD,Savage,Baltimore
New York,NY,Westbury,New York City
Nevada,NV,Reno,Reno-Sparks NV
South Carolina,SC,Lake Wylie,Charlotte
Massachusetts,MA,Rockland,
Rhode Island,RI,Coventry,Providence-New Bedford-Fall River RI-MA
Florida,FL,Summerfield,Ocala FL
Florida,FL,Medley,Miami
Minnesota,MN,Zumbrota,Red Wing MN
Illinois,IL,Bellwood,Chicago
New Jersey,NJ,Edgewater,New York City
Illinois,IL,Downers Grove,Chicago
Minnesota,MN,Eagan,Minneapolis
Kentucky,KY,Bowling Green,Bowling Green KY
Virginia,VA,Henrico,Richmond VA
New Jersey,NJ,Hasbrouck Heights,New York City
California,CA,Long Beach,Los Angeles
New York,NY,Watertown,Watertown-Fort Drum NY
Texas,TX,Lewisville,Dallas
Utah,UT,West Jordan,Salt Lake City
California,CA,City of Industry,Los Angeles
New York,NY,Melville,New York City
Colorado,CO,Littleton,Denver
Michigan,MI,Rochester Hills,Detroit
Pennsylvania,PA,Reading,Reading PA
Colorado,CO,Arvada,Denver
California,CA,Bakersfield,Bakersfield CA
New Jersey,NJ,Lawrenceville,Trenton-Ewing NJ
Illinois,IL,Oakbrook Terrace,Chicago
Illinois,IL,Lombard,Chicago
Florida,FL,Trinity,Tampa
New Jersey,NJ,Cherry Hill,Philadelphia
North Carolina,NC,Hendersonville,Asheville NC
Utah,UT,Eagle Mountain,Provo-Orem UT
Pennsylvania,PA,Murrysville,Pittsburgh PA
Ohio,OH,Richfield,Akron OH
Georgia,GA,Black Creek,Savannah GA
Ohio,OH,Dayton,Dayton OH
California,CA,San Carlos,San Francisco
Virginia,VA,Rocky Mount,Roanoke VA
California,CA,San Bernardino,Riverside-San Bernardino-Ontario CA
Washington,WA,Auburn,Seattle
California,CA,Oceanside,San Diego
Massachusetts,MA,Beverly,Boston
Utah,UT,Spanish Fork,
Ohio,OH,New Albany,Columbus OH
Florida,FL,Delray Beach,Miami
Florida,FL,Miami Gardens,Miami
New York,NY,Woodstock,Kingston NY
Massachusetts,MA,Barnstable,Barnstable Town MA
Missouri,MO,Fenton,St. Louis MO-IL
Maryland,MD,Greenbelt,Washington DC
Arizona,AZ,Chandler,
Massachusetts,MA,Peabody,Boston
Florida,FL,Mary Esther,Fort Walton Beach-Crestview-Destin FL
Colorado,CO,Highlands Ranch,Denver
Texas,TX,Grapevine,Dallas
Texas,TX,Humble,Chicago
California,CA,Campbell,San Jose
New York,NY,Whitestone,New York City
California,CA,Northridge,Los Angeles
Georgia,GA,Marietta,Atlanta
Tennessee,TN,Nashville,
South Carolina,SC,Mauldin,Greenville-Mauldin-Easley SC
Illinois,IL,Lake in the Hills,Chicago
Wisconsin,WI,Pewaukee,Milwaukee-Waukesha-West Allis WI
North Carolina,NC,Winston Salem,Winston-Salem NC
Michigan,MI,Commerce Township,Detroit
Massachusetts,MA,Stoneham,Boston
Georgia,GA,Dallas,Atlanta
Pennsylvania,PA,Allentown,Allentown-Bethlehem-Easton PA-NJ
New Jersey,NJ,Fairfield,New York City
Texas,TX,Rockwall,Dallas
Kentucky,KY,Erlanger,Cincinnati
Minnesota,MN,Roseville,Minneapolis
Florida,FL,Sarasota,Sarasota-Bradenton-Venice FL
Michigan,MI,Manchester,Jackson MI
California,CA,Ontario,Riverside-San Bernardino-Ontario CA
Washington,WA,Renton,Seattle
South Carolina,SC,Daniel Island,Charleston-North Charleston SC
Florida,FL,Sanford,Orlando FL
New York,NY,Niagara Falls,Buffalo-Niagara Falls NY
Michigan,MI,Kentwood,Grand Rapids-Wyoming MI
Arkansas,AR,Rogers,Fayetteville-Springdale-Rogers AR-MO
Illinois,IL,Bridgeview,Chicago
Texas,TX,Carrollton,Dallas
New Jersey,NJ,Englewood Cliffs,New York City
Maryland,MD,College Park,Washington DC
Pennsylvania,PA,Shillington,Reading PA
Pennsylvania,PA,Blue Bell,Philadelphia
Texas,TX,Plano,Houston
Connecticut,CT,Shelton,Bridgeport-Stamford-Norwalk CT
North Dakota,ND,Jamestown,Jamestown ND
Pennsylvania,PA,Perkasie,Philadelphia
Texas,TX,Conroe,Houston
Minnesota,MN,Cannon Falls,Minneapolis
Washington,WA,Bellevue,
California,CA,Baldwin Park,Los Angeles
Texas,TX,Mansfield,Dallas
Colorado,CO,Greenwood Village,Denver
Maryland,MD,Derwood,Washington DC
Pennsylvania,PA,North Wales,Philadelphia
Minnesota,MN,Elk River,Minneapolis
Wisconsin,WI,Janesville,Janesville WI
New Jersey,NJ,South Plainfield,New York City
Illinois,IL,Rolling Meadows,Chicago
California,CA,Moorpark,Oxnard-Thousand Oaks-Ventura CA
Texas,TX,Haltom City,Dallas
Illinois,IL,Springfield,Springfield IL
Florida,FL,Weston,Miami
Oregon,OR,Salem,Salem OR
Massachusetts,MA,Attleboro Falls,Providence-New Bedford-Fall River RI-MA
Massachusetts,MA,Marlborough,Boston
Tennessee,TN,Chattanooga,Chattanooga TN-GA
North Carolina,NC,Davidson,Charlotte
New Jersey,NJ,Westfield,New York City
New York,NY,Massapequa,New York City
Arizona,AZ,Chandler,Phoenix
Connecticut,CT,Brookfield,Bridgeport-Stamford-Norwalk CT
New York,NY,Clifton Park,Albany-Schenectady-Troy NY
Wisconsin,WI,Wauwatosa,Milwaukee-Waukesha-West Allis WI
California,CA,Hermosa Beach,Los Angeles
Maryland,MD,Cockeysville,Baltimore
Wisconsin,WI,Kenosha,Chicago
Iowa,IA,Coralville,Iowa City IA
Ohio,OH,Hamilton,Cincinnati
Idaho,ID,Moscow,Moscow ID
New Jersey,NJ,Matawan,New York City
Texas,TX,Farmers Branch,Dallas
Massachusetts,MA,Wellesley,Boston
South Carolina,SC,Florence,Florence SC
Wisconsin,WI,Oshkosh,Oshkosh-Neenah WI
Ohio,OH,Norton,Cleveland
Ohio,OH,Lakewood,Cleveland
Colorado,CO,Fort Collins,Fort Collins-Loveland CO
New York,NY,Ballston Lake,Albany-Schenectady-Troy NY
Tennessee,TN,Sevierville,Sevierville TN
Illinois,IL,Countryside,Chicago
Illinois,IL,Glendale Heights,Chicago
Kansas,KS,Buhler,Wichita KS
Colorado,CO,Longmont,Boulder CO
Ohio,OH,Medina,Cleveland
Illinois,IL,West Chicago,Chicago
California,CA,Los Angeles,San Diego
Minnesota,MN,Woodbury,Minneapolis
California,CA,San Rafael,San Francisco
Pennsylvania,PA,Middletown,Harrisburg-Carlisle PA
Missouri,MO,Springfield,Springfield MO
New Jersey,NJ,High Bridge,New York City
California,CA,Woodland Hills,Los Angeles
Texas,TX,Spring,Houston
California,CA,Temecula,Riverside-San Bernardino-Ontario CA
New Jersey,NJ,Jersey City,New York City
Rhode Island,RI,Wakefield,Providence-New Bedford-Fall River RI-MA
Tennessee,TN,Johnson City,Johnson City TN
Washington,WA,Des Moines,Seattle
Pennsylvania,PA,Smock,Pittsburgh PA
Georgia,GA,Macon,Macon GA
Illinois,IL,Elmhurst,Chicago
New Hampshire,NH,Portsmouth,Boston
California,CA,La Jolla,San Diego
Connecticut,CT,Plainville,Hartford-West Hartford-East Hartford CT
Tennessee,TN,Dickson,Nashville
Florida,FL,Oldsmar,Tampa
California,CA,Agoura Hills,Los Angeles
Florida,FL,Palm Harbor,Tampa
Kentucky,KY,Elizabethtown,Elizabethtown KY
California,CA,Santa Rosa,
Florida,FL,Santa Rosa Beach,
Georgia,GA,Stone Mountain,Atlanta
Pennsylvania,PA,Bethlehem,Allentown-Bethlehem-Easton PA-NJ
California,CA,Thousand Oaks,Oxnard-Thousand Oaks-Ventura CA
Arizona,AZ,Mesa,Phoenix
New Jersey,NJ,Marlton,Philadelphia
New York,NY,Fairport,Rochester NY
Connecticut,CT,Danbury,Bridgeport-Stamford-Norwalk CT
Texas,TX,Cedar Park,Austin
Idaho,ID,Meridian,Boise City-Nampa ID
Minnesota,MN,Chaska,Minneapolis
Maryland,MD,Annapolis Junction,Baltimore
Massachusetts,MA,Salem,Boston
Arizona,AZ,Peoria,Phoenix
Florida,FL,Plantation,Miami
Puerto Rico,PR,Guaynabo,San Juan-Caguas-Guaynabo PR
Florida,FL,Mount Dora,Orlando FL
Massachusetts,MA,Manchester,Boston
Texas,TX,Houston,Baton Rouge LA
Pennsylvania,PA,Olyphant,Scranton--Wilkes-Barre PA
New Hampshire,NH,Belmont,Laconia NH
California,CA,Fremont,San Francisco
New York,NY,Hauppauge,New York City
Michigan,MI,Portage,Kalamazoo-Portage MI
Oregon,OR,Eugene,Roseburg OR
New Jersey,NJ,Linwood,Atlantic City NJ
Arkansas,AR,Malvern,Hot Springs AR
Louisiana,LA,Broussard,New Iberia LA
Florida,FL,Kissimmee,Orlando FL
North Carolina,NC,Mebane,Burlington NC
California,CA,South Pasadena,Los Angeles
California,CA,Mission Viejo,Los Angeles
Georgia,GA,Lawrenceville,Atlanta
North Dakota,ND,Fargo,Fargo ND-MN
Colorado,CO,Lone Tree,Denver
New Jersey,NJ,Red Bank,New York City
North Carolina,NC,Mooersville,Statesville-Mooresville NC
Massachusetts,MA,Danvers,Boston
Indiana,IN,Terre Haute,Terre Haute IN
Florida,FL,Miramar Beach,Fort Walton Beach-Crestview-Destin FL
Florida,FL,Tallahassee,Tallahassee FL
Florida,FL,St. Augustine,Jacksonville FL
Florida,FL,Riverview,
Virginia,VA,Kingstowne,Washington DC
Pennsylvania,PA,Chambersburg,
Tennessee,TN,Mosheim,Newport TN
California,CA,Placentia,Los Angeles
Alabama,AL,Montgomery,Montgomery AL
California,CA,Burlingame,San Francisco
Illinois,IL,Glen Ellyn,Chicago
Massachusetts,MA,Hadley,Springfield MA
Utah,UT,Midvale,Salt Lake City
New York,NY,Lake Success,New York City
Utah,UT,Clearfield,Ogden-Clearfield UT
Ohio,OH,Huron,Sandusky OH
Mississippi,MS,Brandon,Jackson MS
Virginia,VA,Roanoke,Roanoke VA
Pennsylvania,PA,Norristown,Philadelphia
California,CA,Larkspur,San Francisco
Massachusetts,MA,Worcester,Worcester MA
Michigan,MI,Holland,Holland-Grand Haven MI
California,CA,Dana Point,Los Angeles
New Jersey,NJ,Lambertville,New York City
California,CA,Saratoga,San Jose
Pennsylvania,PA,Monroeville,Pittsburgh PA
Michigan,MI,Chesterfield,Detroit
Washington,WA,Mercer Island,Seattle
Virginia,VA,Norfolk,Virginia Beach-Norfolk-Newport News VA-NC
Pennsylvania,PA,Lititz,Lancaster PA
Nebraska,NE,Aurora,Hastings NE
Texas,TX,Kingwood,Houston
Florida,FL,Middleburg,Jacksonville FL
Michigan,MI,Flint,Flint MI
Ohio,OH,Hudson,Akron OH
Ohio,OH,Toledo,Toledo OH
Arkansas,AR,Little Rock,Little Rock-North Little Rock-Conway AR
Missouri,MO,Monett,
Arizona,AZ,Gilbert,
Michigan,MI,Byron Center,Allegan MI
Utah,UT,Logan,Logan UT-ID
Virginia,VA,Winchester,Winchester VA-WV
Kansas,KS,Lenexa,Kansas City MO-KS
New Hampshire,NH,Seabrook,Boston
Connecticut,CT,Watertown,Torrington CT
Florida,FL,Hallandale,Miami
Pennsylvania,PA,Wayne,Seattle
Michigan,MI,Milford,Detroit
Pennsylvania,PA,Gladwyne,Philadelphia
Indiana,IN,Griffith,Chicago
California,CA,Modesto,Stockton CA
Iowa,IA,Cedar Rapids,
Connecticut,CT,Newtown,Bridgeport-Stamford-Norwalk CT
Indiana,IN,Elkhart,Elkhart-Goshen IN
Michigan,MI,Auburn Hills,Detroit
California,CA,Montebello,Los Angeles
Iowa,IA,Iowa City,Iowa City IA
Connecticut,CT,South Windsor,Hartford-West Hartford-East Hartford CT
Pennsylvania,PA,Easton,Philadelphia
Massachusetts,MA,Norwood,Boston
New Jersey,NJ,Parlin,New York City
Ohio,OH,Plain City,Columbus OH
California,CA,Sierra Madre,Los Angeles
New York,NY,Lindenhurst,New York City
Arkansas,AR,Fayetteville,Fayetteville-Springdale-Rogers AR-MO
Indiana,IN,Michigan City,Michigan City-La Porte IN
Connecticut,CT,Branford,New Haven-Milford CT
Missouri,MO,Webb City,Joplin MO
Wisconsin,WI,West Allis,Milwaukee-Waukesha-West Allis WI
New York,NY,Pleasant Valley,Poughkeepsie-Newburgh-Middletown NY
Georgia,GA,Doraville,Atlanta
Mississippi,MS,Madison,Jackson MS
California,CA,Studio City,Los Angeles
New York,NY,Holbrook,New York City
Illinois,IL,Gurnee,Chicago
Washington,WA,Longview,Longview WA
Indiana,IN,South Bend,South Bend-Mishawaka IN-MI
Ohio,OH,Springfield,Springfield OH
New Hampshire,NH,Bedford,Manchester-Nashua NH
Massachusetts,MA,North Billerica,Boston
Texas,TX,Bastrop,Austin
Missouri,MO,St. Charles,St. Louis MO-IL
Minnesota,MN,Wayzata,Minneapolis
Iowa,IA,Cedar Rapids,Cedar Rapids IA
Florida,FL,Lake Worth,Miami
North Carolina,NC,Hickory,Hickory-Lenoir-Morganton NC
Pennsylvania,PA,Lancaster,Lancaster PA
Indiana,IN,Evansville,Evansville IN-KY
North Dakota,ND,Grand Forks,Grand Forks ND-MN
Maryland,MD,Glenn Dale,Washington DC
Indiana,IN,Greenwood,Indianapolis IN
Pennsylvania,PA,Chambersburg,Chambersburg PA
New York,NY,East Elmhurst,New York City
Pennsylvania,PA,Trevose,Philadelphia
Virginia,VA,Fredericksburg,Richmond VA
New Jersey,NJ,Hackensack,New York City
Pennsylvania,PA,Conshohocken,Philadelphia
North Carolina,NC,Kernersville,Thomasville-Lexington NC
Ohio,OH,Newbury,Cleveland
Ohio,OH,Findlay,Findlay OH
California,CA,Seal Beach,Los Angeles
New York,NY,Canastota,Syracuse NY
Wisconsin,WI,Middleton,Madison WI
Pennsylvania,PA,West Chester,Philadelphia
Indiana,IN,Syracuse,Elkhart-Goshen IN
Georgia,GA,Peachtree City,Atlanta
Iowa,IA,Urbandale,Des Moines-West Des Moines IA
Rhode Island,RI,East Providence,Providence-New Bedford-Fall River RI-MA
Maryland,MD,Frederick,Washington DC
New Jersey,NJ,Tinton Falls,New York City
Maryland,MD,Lexington Park,Lexington Park MD
Oregon,OR,Tualatin,Portland OR
Washington,WA,Everett,Seattle
Massachusetts,MA,Wakefield,Boston
Wisconsin,WI,Menomonee Falls,Milwaukee-Waukesha-West Allis WI
Ohio,OH,Brooklyn Heights,Cleveland
Oklahoma,OK,Stillwater,Stillwater OK
New York,NY,Port Chester,New York City
New York,NY,Pleasantville,New York City
South Carolina,SC,Pawleys Island,Georgetown SC
Massachusetts,MA,Arlington,Boston
Ohio,OH,Brecksville,Cleveland
Nebraska,NE,La Vista,Omaha-Council Bluffs NE-IA
Massachusetts,MA,Osterville,Barnstable Town MA
Kentucky,KY,Lexington,Lexington-Fayette KY
Nebraska,NE,Ashland,Omaha-Council Bluffs NE-IA
Michigan,MI,Bloomfield Hills,Detroit
Illinois,IL,Barrington,Chicago
Massachusetts,MA,Lowell,Boston
California,CA,Lake Elsinore,Riverside-San Bernardino-Ontario CA
Pennsylvania,PA,Export,Pittsburgh PA
Texas,TX,Bedford,Dallas
New Jersey,NJ,Elizabeth,New York City
Texas,TX,Deer Park,Houston
New Jersey,NJ,Phillipsburg,New York City
Texas,TX,Southlake,Dallas
Florida,FL,Ocala,Ocala FL
Pennsylvania,PA,Broomall,Philadelphia
Maryland,MD,Lanham,Washington DC
North Carolina,NC,Statesville,Hickory-Lenoir-Morganton NC
Tennessee,TN,LaVergne,Nashville
Michigan,MI,Brighton,Detroit
California,CA,Culver CIty,Los Angeles
Michigan,MI,Traverse City,Traverse City MI
Illinois,IL,Arlington Heights,Chicago
Michigan,MI,Midland,Bay City MI
Minnesota,MN,Maplewood,Minneapolis
Arkansas,AR,Lowell,Fayetteville-Springdale-Rogers AR-MO
New York,NY,West Babylon,New York City
Pennsylvania,PA,Montoursville,Williamsport PA
Illinois,IL,Schiller Park,Chicago
Georgia,GA,Calhoun,Rome GA
North Carolina,NC,HIgh Point,Greensboro-High Point NC
Illinois,IL,Burnham,Chicago
California,CA,Sacramento,
Pennsylvania,PA,Pittsburgh,
Minnesota,MN,Chanhassen,Minneapolis
Ohio,OH,Lima,Lima OH
New Jersey,NJ,Paterson,New York City
Minnesota,MN,Excelsior,Minneapolis
Massachusetts,MA,Somerville,Boston
New Jersey,NJ,Livingston,New York City
Massachusetts,MA,Woburn,Boston
New Hampshire,NH,Newington,Concord NH
Massachusetts,MA,Eastham,Barnstable Town MA
Indiana,IN,Marion,
Connecticut,CT,Old Lyme,Norwich-New London CT
Massachusetts,MA,Weymouth,Boston
California,CA,Glendale,Los Angeles
Maryland,MD,Elkridge,Baltimore
Utah,UT,Price,Price UT
Florida,FL,Pensacola,Pensacola-Ferry Pass-Brent FL
Michigan,MI,Williamston,Lansing-East Lansing MI
Louisiana,LA,Shreveport,Shreveport-Bossier City LA
Florida,FL,Melbourne,Palm Bay-Melbourne-Titusville FL
Florida,FL,Jensen Beach,Port St. Lucie FL
California,CA,Santa Clarita,Los Angeles
Mississippi,MS,Starkville,West Point MS
Virginia,VA,Luray,
Missouri,MO,Grain Valley,Kansas City MO-KS
Oregon,OR,Roseburg,Roseburg OR
Illinois,IL,Lake Zurich,Chicago
Connecticut,CT,Sandy Hook,Bridgeport-Stamford-Norwalk CT
North Carolina,NC,Colfax,Greensboro-High Point NC
Massachusetts,MA,Acton,Boston
Pennsylvania,PA,Pottstown,Reading PA
Florida,FL,New Port Richey,Tampa
California,CA,Chino,Riverside-San Bernardino-Ontario CA
Utah,UT,Murray,Salt Lake City
New Jersey,NJ,Sayreville,New York City
Florida,FL,Southwest Ranches,Miami
Oklahoma,OK,Broken Arrow,Tulsa OK
California,CA,Winnetka,Los Angeles
Florida,FL,The Villages,
California,CA,Gold River,Sacramento--Arden-Arcade--Roseville CA
Tennessee,TN,Kodak,Morristown TN
Indiana,IN,Warsaw,Warsaw IN
Connecticut,CT,Bristol,Hartford-West Hartford-East Hartford CT
Illinois,IL,Berkeley,Chicago
Georgia,GA,Griffin,Atlanta
California,CA,Union City,San Francisco
Louisiana,LA,St. Rose,New Orleans-Metairie-Kenner LA
New Jersey,NJ,Monmouth Junction,New York City
Michigan,MI,Farmington,Detroit
Kansas,KS,Leawood,Kansas City MO-KS
Georgia,GA,Savannah,Savannah GA
New Jersey,NJ,Lakewood,New York City
South Carolina,SC,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach SC
Virginia,VA,Warrenton,Washington DC
Texas,TX,Victoria,Victoria TX
Illinois,IL,Loves Park,Rockford IL
Florida,FL,Largo,Tampa
South Carolina,SC,Little River,Myrtle Beach-Conway-North Myrtle Beach SC
Texas,TX,Beaumont,Beaumont-Port Arthur TX
Minnesota,MN,Hastings,Minneapolis
Illinois,IL,Northbrook,Chicago
Illinois,IL,Bensenville,Chicago
California,CA,Novato,San Francisco
Pennsylvania,PA,Merion Station,Philadelphia
Minnesota,MN,St. Cloud,St. Cloud MN
Massachusetts,MA,Walpole,Boston
Minnesota,MN,Sauk Rapids,St. Cloud MN
North Carolina,NC,Raleigh,Scranton--Wilkes-Barre PA
New York,NY,Utica,Utica-Rome NY
Texas,TX,Brownsville,Brownsville-Harlingen TX
Maryland,MD,Hagerstown,Hagerstown-Martinsburg MD-WV
New Jersey,NJ,Bridgewater,New York City
Pennsylvania,PA,Hummelstown,Harrisburg-Carlisle PA
California,CA,Calabasas,Los Angeles
Ohio,OH,Millersburg,Coshocton OH
Connecticut,CT,Manchester,Hartford-West Hartford-East Hartford CT
Pennsylvania,PA,Indiana,Indiana PA
Pennsylvania,PA,Somerset,Somerset PA
Oregon,OR,Wilsonville,Portland OR
Kansas,KS,Kansas City,Kansas City MO-KS
Texas,TX,Port Lavaca,Victoria TX
California,CA,Redding,Redding CA
Rhode Island,RI,North Kingstown,Providence-New Bedford-Fall River RI-MA
New Jersey,NJ,Plainsboro,New York City
Ohio,OH,Mentor,Cleveland
Illinois,IL,Chadwick,
Mississippi,MS,Columbus,Columbus MS
New York,NY,Troy,Albany-Schenectady-Troy NY
Georgia,GA,Rome,Rome GA
Indiana,IN,New Albany,Louisville/Jefferson KY-IN
Texas,TX,Humble,Houston
California,CA,Vernon,Los Angeles
New Jersey,NJ,Wyckoff,New York City
North Carolina,NC,Greenville,Greenville NC
Missouri,MO,Chesterfield,St. Louis MO-IL
New Jersey,NJ,Gloucester City,Philadelphia
Nevada,NV,Las vegas,Las Vegas-Paradise NV
Kentucky,KY,Covington,Cincinnati
New York,NY,Bohemia,New York City
California,CA,San Francisco,Los Angeles
Ohio,OH,Loveland,Cincinnati
Ohio,OH,Holland,Toledo OH
Michigan,MI,Bingham Farms,Detroit
New Jersey,NJ,Somerset,New York City
Michigan,MI,Holland,Allegan MI
Iowa,IA,Urbana,Cedar Rapids IA
Pennsylvania,PA,Media,Philadelphia
South Carolina,SC,Fort Mill,Lancaster SC
Maryland,MD,Hunt Valley,Baltimore
Massachusetts,MA,Salisbury,Boston
Ohio,OH,Akron,Cleveland
California,CA,Visalia,Visalia-Porterville CA
Texas,TX,Belton,Killeen-Temple-Fort Hood TX
Kansas,KS,Overland Park,
Ohio,OH,Akron,Akron OH
Iowa,IA,Le Claire,Davenport-Moline-Rock Island IA-IL
New York,NY,Jamaica,New York City
Tennessee,TN,Oakland,Memphis TN-MS-AR
Massachusetts,MA,Hingham,Boston
North Carolina,NC,Sanford,Durham NC
Alabama,AL,Athens,Huntsville AL
Ohio,OH,Chagrin Falls,Akron OH
Texas,TX,Mesquite,Dallas
Wisconsin,WI,Sparta,La Crosse WI-MN
Texas,TX,Pflugerville,Austin
Connecticut,CT,Trumbull,Bridgeport-Stamford-Norwalk CT
California,CA,Venice,Los Angeles
New York,NY,West Henrietta,Rochester NY
Michigan,MI,Mount Pleasant,Mount Pleasant MI
New Jersey,NJ,Colts Neck,New York City
Wisconsin,WI,Green Bay,Green Bay WI
South Carolina,SC,Lancaster,Lancaster SC
Massachusetts,MA,Mansfield,Providence-New Bedford-Fall River RI-MA
Washington,WA,Lynnwood,Seattle
Missouri,MO,Mount Vernon,
Indiana,IN,Bloomington,Bloomington IN
Nebraska,NE,Syracuse,
Massachusetts,MA,Northborough,Worcester MA
Maryland,MD,Beltsville,Washington DC
California,CA,Danville,San Francisco
Ohio,OH,Maineville,Cincinnati
Missouri,MO,Holts Summit,Jefferson City MO
Michigan,MI,Wixom,Detroit
Mississippi,MS,Jackson,Jackson MS
Massachusetts,MA,Lawrence,Boston
Ohio,OH,Middletown,Cincinnati
Kentucky,KY,Owensboro,Owensboro KY
Florida,FL,Doral,Miami
Wisconsin,WI,Elm Grove,Milwaukee-Waukesha-West Allis WI
Missouri,MO,Battlefield,Springfield MO
Connecticut,CT,Wilton,Bridgeport-Stamford-Norwalk CT
New York,NY,Washingtonville,Poughkeepsie-Newburgh-Middletown NY
California,CA,Oakhurst,Madera CA
Ohio,OH,Lorain,Cleveland
Illinois,IL,Mundelein,Chicago
Utah,UT,Hyde Park,Logan UT-ID
Arizona,AZ,Prescott Valley,Prescott AZ
Massachusetts,MA,Westfield,Springfield MA
New Jersey,NJ,Clinton,New York City
Pennsylvania,PA,Chester,Philadelphia
Iowa,IA,Milford,Spencer IA
Minnesota,MN,Baxter,Brainerd MN
New Hampshire,NH,Center Harbor,Laconia NH
Colorado,CO,Pueblo,Pueblo CO
Louisiana,LA,Youngsville,New Iberia LA
California,CA,Paso Robles,San Luis Obispo-Paso Robles CA
Ohio,OH,Lockbourne,Columbus OH
New Jersey,NJ,North Bergen,New York City
New York,NY,Monsey,New York City
Kansas,KS,Shawnee,Kansas City MO-KS
Kentucky,KY,Newport,Cincinnati
Pennsylvania,PA,Sharon Hill,Philadelphia
Pennsylvania,PA,Claysville,Pittsburgh PA
Illinois,IL,Effingham,Charleston-Mattoon IL
California,CA,San Bruno,San Francisco
New Hampshire,NH,Newfields,Boston
Texas,TX,Garland,Dallas
California,CA,Yorba Linda,Los Angeles
Louisiana,LA,Ruston,Ruston LA
Virginia,VA,Haymarket,Washington DC
Wisconsin,WI,Fitchburg,Madison WI
New Jersey,NJ,Township of Washington,New York City
New Jersey,NJ,North Brunswick,New York City
New Jersey,NJ,Woodbridge,New York City
Texas,TX,Pampa,Amarillo TX
Indiana,IN,Markle,Huntington IN
Pennsylvania,PA,Erie,Erie PA
Illinois,IL,Roselle,Chicago
Michigan,MI,Saginaw,Saginaw-Saginaw Township North MI
California,CA,Commerce,Los Angeles
Alabama,AL,Falkville,Cullman AL
Pennsylvania,PA,Ambler,Philadelphia
Washington,WA,Maple Valley,Seattle
New Jersey,NJ,Farmingdale,New York City
Wisconsin,WI,Mayville,Beaver Dam WI
Kansas,KS,Manhattan,Manhattan KS
Connecticut,CT,Farmington,Hartford-West Hartford-East Hartford CT
Florida,FL,Cape Coral,Cape Coral-Fort Myers FL
Oregon,OR,Eugene,Eugene-Springfield OR
New Jersey,NJ,Washington,New York City
Pennsylvania,PA,Hatboro,Philadelphia
Virginia,VA,Exmore,
Louisiana,LA,Houma,Houma-Bayou Cane-Thibodaux LA
Ohio,OH,Perrysburg,Toledo OH
New Jersey,NJ,Scotch Plains,New York City
Kentucky,KY,Hebron,Cincinnati
California,CA,Dublin,San Francisco
North Carolina,NC,Garner,Raleigh-Cary NC
Wisconsin,WI,River Falls,Minneapolis
Wisconsin,WI,Manitowoc,Manitowoc WI
Texas,TX,Round Rock,Austin
North Carolina,NC,Southern Pines,Southern Pines-Pinehurst NC
Texas,TX,El Paso,El Paso TX
Massachusetts,MA,West Bridgewater,Boston
California,CA,Soquel,Santa Cruz-Watsonville CA
California,CA,Encinitas,San Diego
Wisconsin,WI,Blue Mounds,Madison WI
New Jersey,NJ,Rochelle Park,New York City
Massachusetts,MA,Methuen,Boston
New York,NY,Roslyn Heights,New York City
Illinois,IL,Westmont,Chicago
Illinois,IL,Melrose Park,Chicago
California,CA,Chatsworth,Los Angeles
Pennsylvania,PA,Philipsburg,State College PA
Illinois,IL,Bloomington,Bloomington-Normal IL
Ohio,OH,Troy,Greenville OH
Michigan,MI,Tecumseh,Adrian MI
New Jersey,NJ,Skillman,Trenton-Ewing NJ
Georgia,GA,Athens,Athens-Clarke GA
California,CA,San DIego,San Diego
Florida,FL,Lehigh Acres,Cape Coral-Fort Myers FL
Ohio,OH,Galena,Columbus OH
Illinois,IL,La Grange,Chicago
Ohio,OH,Bowling Green,Toledo OH
Pennsylvania,PA,Newtown,Philadelphia
California,CA,San Leandro,San Francisco
New Hampshire,NH,Hudson,Manchester-Nashua NH
California,CA,Claremont,Los Angeles
